car_id,model,year,engine_size,horsepower,fuel_type,transmission,drivetrain,mileage_km,fuel_consumption_l_per_100km,co2_emissions_g_km,price_usd,doors,seats,body_type,color,owner_count,accident_history,service_history,country_sold,ID
9645,X1,2009,2.2,230,hybrid,automatic,AWD,209220,,105.0,20536,5,5,suv,red,2.0,no,none,Netherlands,166
6428,7 Series,2022,4.3,383,hybrid,automatic,AWD,47167,7.0,158.0,96980,4,4,sedan,black,1.0,yes,full,Italy,1751
9069,X5,2009,4.3,345,diesel,automatic,AWD,220333,9.7,210.0,46771,5,5,suv,red,2.0,yes,full,Italy,1479
9187,5 Series,2019,3.3,276,diesel,automatic,RWD,31669,8.0,171.0,56025,4,5,sedan,white,2.0,no,partial,Netherlands,1024
2693,3 Series,2021,2.1,231,hybrid,automatic,AWD,36934,4.7,94.0,43241,4,5,sedan,red,1.0,no,full,UK,1788
676,i3,2023,0.0,201,electric,automatic,RWD,0,0.0,0.0,56327,5,4,hatchback,blue,1.0,no,none,Spain,2264
473,X3,2015,3.3,317,petrol,automatic,AWD,104126,10.2,220.0,46317,5,5,suv,grey,3.0,no,full,Turkey,2473
6386,1 Series,2005,1.8,155,petrol,manual,FWD,249810,7.0,140.0,5546,3,4,hatchback,silver,2.0,no,partial,Netherlands,1822
9948,X3,2018,3.4,346,hybrid,automatic,RWD,60538,5.7,120.0,50344,5,5,suv,black,3.0,no,partial,Spain,1220
5471,X5,2005,3.1,312,diesel,automatic,AWD,300000,9.0,203.0,31726,5,5,suv,white,,no,partial,Netherlands,1666
8592,X3,2020,2.6,190,diesel,automatic,AWD,64875,7.0,157.0,52003,5,5,suv,silver,0.0,no,partial,Italy,2960
3818,i3,2017,0.0,184,electric,automatic,RWD,94878,0.0,0.0,38016,5,4,hatchback,white,1.0,,full,Turkey,152
3996,i7,2020,0.0,596,electric,automatic,RWD,45084,0.0,0.0,188572,4,5,sedan,silver,,no,full,Netherlands,2534
2419,X5,2018,3.0,256,petrol,automatic,AWD,75019,9.6,198.0,82793,5,5,suv,grey,1.0,no,full,France,4688
5182,X7,2014,3.6,323,diesel,automatic,AWD,148495,8.8,,93213,5,5,suv,white,1.0,no,full,UK,1978
9495,X7,2015,4.1,308,hybrid,automatic,AWD,93143,6.3,130.0,84639,5,5,suv,black,3.0,no,partial,France,1469
182,X3,2024,2.0,178,hybrid,automatic,RWD,0,5.1,122.0,64130,5,5,suv,blue,0.0,no,full,UK,2807
2639,X3,2008,2.7,284,petrol,automatic,AWD,177582,9.4,,26468,5,5,suv,white,3.0,yes,partial,USA,2512
9478,i7,2020,0.0,320,electric,automatic,RWD,21415,0.0,0.0,168414,4,4,sedan,,1.0,no,full,France,2943
6511,3 Series,2013,2.9,275,diesel,automatic,RWD,150067,7.9,160.0,26510,4,5,sedan,blue,5.0,no,partial,Germany,2980
5975,X1,2024,1.8,156,diesel,automatic,AWD,15581,6.9,136.0,39350,5,5,suv,white,0.0,no,partial,Turkey,4822
9643,1 Series,2020,2.1,181,diesel,manual,FWD,71694,6.8,148.0,24748,3,4,hatchback,white,2.0,no,full,USA,3017
4448,i3,2018,0.0,176,electric,automatic,RWD,90487,0.0,0.0,37608,5,4,hatchback,silver,1.0,yes,full,UK,1566
2679,7 Series,2017,4.6,426,petrol,automatic,RWD,74810,11.1,233.0,80821,4,4,sedan,silver,4.0,yes,full,Turkey,31
1769,1 Series,2010,2.3,237,petrol,manual,RWD,191961,8.5,177.0,11044,5,4,hatchback,black,3.0,yes,full,Germany,937
2200,5 Series,2006,2.9,267,hybrid,automatic,RWD,300000,5.8,120.0,21866,4,5,sedan,white,3.0,no,partial,Spain,1215
5156,X3,2012,3.3,323,petrol,automatic,RWD,173855,10.1,211.0,34786,5,5,suv,black,2.0,no,none,Turkey,1937
7700,X3,2007,3.1,351,petrol,automatic,RWD,241362,8.7,201.0,31464,5,5,suv,black,3.0,yes,full,Netherlands,1129
5560,X1,2018,2.4,213,hybrid,automatic,AWD,127230,5.5,129.0,35022,5,5,suv,blue,2.0,no,partial,Italy,309
6888,X5,2024,3.0,294,hybrid,automatic,AWD,6778,6.2,139.0,93403,5,5,suv,,1.0,no,partial,Italy,4901
8920,1 Series,2022,2.5,205,hybrid,manual,FWD,17755,4.9,98.0,29567,5,4,hatchback,white,2.0,no,full,USA,2168
8096,1 Series,2016,2.7,245,hybrid,manual,FWD,104073,5.3,126.0,22038,3,5,hatchback,black,4.0,no,partial,France,3113
5171,i4,2009,0.0,309,electric,automatic,RWD,289948,0.0,0.0,28252,4,5,coupe,silver,5.0,yes,full,Turkey,495
488,1 Series,2012,2.4,222,hybrid,automatic,RWD,204575,4.4,96.0,11355,5,4,hatchback,white,4.0,no,full,France,205
2534,X3,2023,3.2,303,petrol,automatic,RWD,0,10.0,234.0,63052,5,5,suv,black,1.0,no,partial,Germany,2673
5762,3 Series,2024,2.1,213,petrol,automatic,AWD,0,7.8,173.0,46742,4,5,sedan,black,1.0,no,full,France,3357
7077,5 Series,2007,3.9,319,diesel,automatic,AWD,300000,8.3,163.0,17631,4,5,sedan,black,4.0,yes,partial,Turkey,3830
5636,i4,2019,0.0,385,electric,automatic,RWD,94682,0.0,0.0,72226,4,5,coupe,white,2.0,yes,full,USA,305
8679,X5,2011,3.9,368,petrol,automatic,AWD,233565,11.1,231.0,56733,5,5,suv,silver,3.0,,partial,Germany,3793
5130,5 Series,2015,2.8,232,diesel,automatic,RWD,82964,7.5,166.0,36864,4,5,sedan,silver,2.0,no,none,Italy,2201
5194,X3,2015,3.4,308,hybrid,automatic,AWD,179824,6.0,148.0,34965,5,5,suv,,3.0,yes,partial,Germany,1061
1181,X3,2024,2.7,208,hybrid,automatic,RWD,4377,4.7,102.0,61622,5,5,suv,silver,0.0,no,full,Italy,843
5945,1 Series,2005,2.0,243,diesel,automatic,FWD,245292,6.3,121.0,7013,3,5,hatchback,white,4.0,yes,partial,Italy,3872
3615,X1,2013,2.4,239,diesel,automatic,AWD,159168,7.6,153.0,24388,5,5,suv,blue,5.0,no,none,USA,2251
7933,X7,2022,4.2,415,petrol,automatic,AWD,32338,11.1,258.0,139974,5,5,suv,white,1.0,no,full,Netherlands,211
435,X5,2022,3.2,262,hybrid,automatic,AWD,39015,6.0,123.0,81438,5,5,suv,black,1.0,no,full,Netherlands,3997
3647,7 Series,2017,0.0,367,electric,automatic,RWD,119945,0.0,0.0,73028,4,4,sedan,black,2.0,yes,partial,Italy,679
2076,3 Series,2006,2.8,269,diesel,manual,AWD,296712,7.7,174.0,10358,4,5,sedan,white,3.0,yes,partial,Spain,565
9236,Z4,2023,3.0,240,petrol,automatic,RWD,6909,8.8,191.0,73189,2,2,convertible,black,1.0,no,full,Spain,3290
5073,X1,2015,1.5,151,diesel,automatic,FWD,101568,,142.0,32511,5,5,suv,silver,1.0,no,full,Italy,4354
1684,X1,2014,1.5,182,diesel,automatic,AWD,118433,6.8,150.0,27442,5,5,suv,red,3.0,no,none,UK,680
8314,7 Series,2021,4.6,372,hybrid,automatic,RWD,28341,7.2,165.0,107358,4,4,sedan,silver,1.0,no,full,USA,180
3591,X5,2024,3.7,368,diesel,automatic,AWD,4519,9.2,202.0,91825,5,5,suv,black,1.0,no,partial,Netherlands,4279
4863,1 Series,2010,2.9,231,hybrid,automatic,FWD,284354,5.8,113.0,4095,5,5,hatchback,white,3.0,yes,partial,Italy,2495
4627,3 Series,2009,2.7,210,petrol,automatic,AWD,103442,9.3,197.0,17398,4,5,sedan,grey,3.0,yes,none,Germany,2316
3378,i3,2016,0.0,204,electric,,RWD,76978,0.0,0.0,44222,5,4,hatchback,silver,1.0,no,full,Turkey,4273
7418,3 Series,2021,2.3,181,hybrid,automatic,RWD,50064,4.8,97.0,38085,4,5,sedan,white,1.0,no,full,France,278
9011,3 Series,2016,2.0,185,petrol,manual,AWD,174388,,175.0,30413,4,5,sedan,black,2.0,no,full,Germany,3683
6897,X5,2014,3.7,301,hybrid,automatic,AWD,202102,5.9,138.0,47379,5,5,suv,grey,3.0,no,none,France,4762
368,Z4,2021,3.0,261,petrol,automatic,RWD,40350,9.4,230.0,68168,2,2,convertible,black,1.0,no,full,UK,432
4424,X3,2020,2.7,206,hybrid,automatic,AWD,89989,5.2,110.0,47844,5,5,suv,white,1.0,no,full,Turkey,289
6298,5 Series,2023,3.1,284,petrol,automatic,RWD,25648,8.6,191.0,58428,4,5,sedan,white,1.0,no,partial,Spain,1027
9039,X7,2023,3.4,303,petrol,automatic,AWD,10637,10.0,219.0,112087,5,5,suv,white,0.0,no,full,Turkey,535
3747,7 Series,2020,0.0,362,electric,automatic,AWD,105234,0.0,0.0,115537,4,5,sedan,silver,1.0,no,full,UK,3631
2499,X1,2017,1.9,164,petrol,automatic,AWD,80930,6.9,151.0,25310,5,5,suv,white,2.0,yes,partial,Turkey,188
7335,i4,2018,0.0,472,electric,automatic,RWD,88067,0.0,0.0,74751,4,5,coupe,black,2.0,no,full,Italy,2174
5973,i3,2015,0.0,213,electric,automatic,RWD,140092,0.0,0.0,29420,5,4,hatchback,grey,3.0,no,none,Netherlands,3915
2376,1 Series,2022,2.6,244,hybrid,automatic,FWD,62523,5.5,117.0,28626,5,5,hatchback,silver,1.0,no,full,Netherlands,1862
4113,i4,2015,0.0,356,electric,automatic,AWD,201934,0.0,0.0,46056,4,5,coupe,red,4.0,yes,full,USA,270
4951,3 Series,2016,1.8,136,petrol,manual,RWD,85995,8.5,197.0,30431,4,5,sedan,white,1.0,no,partial,UK,1728
8742,X5,2023,4.2,299,petrol,automatic,AWD,35692,10.8,242.0,92132,5,5,suv,black,0.0,no,,France,4075
3887,X7,2021,4.3,334,hybrid,automatic,AWD,18867,7.3,180.0,130148,5,5,suv,blue,0.0,no,full,France,2157
4484,Z4,2021,2.8,295,petrol,automatic,RWD,35362,9.5,217.0,71963,2,2,convertible,silver,0.0,no,full,Turkey,3931
6744,3 Series,2016,3.3,347,diesel,automatic,RWD,73336,8.7,196.0,36506,4,5,sedan,black,1.0,no,full,Germany,111
2176,7 Series,2018,4.3,331,petrol,automatic,RWD,87805,11.8,270.0,83919,4,5,sedan,black,3.0,no,partial,France,2384
7842,i4,2005,0.0,366,electric,automatic,RWD,183777,0.0,0.0,25710,4,5,coupe,black,5.0,yes,partial,Turkey,220
3048,3 Series,2020,2.2,179,petrol,automatic,AWD,72062,8.2,171.0,39083,4,5,sedan,red,1.0,no,full,Germany,627
2466,3 Series,2023,3.2,257,petrol,automatic,RWD,10986,9.4,213.0,49692,4,5,sedan,black,0.0,no,full,Turkey,1181
9889,Z4,2022,2.4,231,petrol,automatic,RWD,22272,7.8,177.0,53978,2,2,convertible,white,1.0,yes,full,Spain,3381
8371,7 Series,2013,0.0,360,electric,automatic,AWD,171102,0.0,0.0,76613,4,5,sedan,white,3.0,no,partial,France,2422
7637,X7,2022,4.3,352,hybrid,automatic,AWD,25019,7.4,139.0,102397,5,5,suv,white,2.0,yes,full,France,790
1465,5 Series,2022,3.2,303,hybrid,automatic,AWD,24696,6.9,155.0,64452,4,5,sedan,white,0.0,no,full,Italy,4275
8630,X7,2016,3.7,309,hybrid,automatic,AWD,126078,6.2,126.0,82470,5,5,suv,red,1.0,no,partial,Turkey,461
372,3 Series,2015,3.2,297,petrol,automatic,RWD,167099,9.0,204.0,28594,4,5,sedan,,2.0,no,partial,France,4402
8356,1 Series,2019,2.8,248,diesel,automatic,FWD,50281,7.2,172.0,29346,3,4,hatchback,silver,1.0,no,partial,France,551
7459,1 Series,2014,1.6,217,hybrid,automatic,RWD,207629,4.3,99.0,16405,3,5,hatchback,silver,1.0,no,partial,Germany,3129
380,X5,2018,3.3,346,hybrid,automatic,AWD,67779,5.7,115.0,78809,5,5,suv,black,2.0,no,full,USA,1444
971,1 Series,2023,2.6,298,diesel,automatic,FWD,12120,7.7,158.0,36268,5,5,hatchback,black,0.0,no,full,Turkey,198
4773,X3,2020,2.8,213,petrol,automatic,RWD,40944,8.7,176.0,51861,5,5,suv,black,1.0,no,partial,France,2589
8721,X3,2015,3.1,282,hybrid,automatic,RWD,101157,5.7,127.0,40173,5,5,suv,red,4.0,no,none,Germany,402
3069,1 Series,2019,2.0,145,hybrid,automatic,RWD,49073,5.1,123.0,24732,3,4,hatchback,grey,1.0,no,partial,USA,3959
7082,5 Series,2024,3.3,317,diesel,automatic,AWD,0,8.9,198.0,72303,4,5,sedan,black,0.0,no,full,Netherlands,4189
7595,3 Series,2023,3.3,320,diesel,automatic,RWD,15181,8.4,184.0,53568,4,5,sedan,silver,0.0,no,full,Netherlands,4763
1946,X3,2008,3.4,269,diesel,automatic,AWD,161601,8.8,187.0,27439,5,5,suv,silver,3.0,yes,partial,Netherlands,2095
2637,i3,2023,0.0,153,electric,automatic,RWD,28307,0.0,0.0,59847,5,4,hatchback,silver,0.0,no,full,USA,2900
2351,i3,2017,0.0,167,electric,automatic,RWD,98414,0.0,0.0,35882,5,4,hatchback,black,3.0,yes,full,Netherlands,4462
317,X5,2021,3.8,346,diesel,automatic,AWD,35238,9.3,213.0,82941,5,5,suv,silver,0.0,no,full,Turkey,650
1191,i4,2007,0.0,365,electric,automatic,AWD,276957,0.0,0.0,33394,4,5,coupe,white,3.0,no,,USA,708
4100,7 Series,2024,3.1,286,hybrid,,AWD,0,6.0,127.0,128135,4,5,sedan,silver,0.0,no,full,UK,1480
7290,1 Series,2021,2.2,184,petrol,automatic,FWD,76031,8.4,182.0,23380,3,4,hatchback,grey,0.0,no,partial,Turkey,4414
634,X7,2019,4.2,284,hybrid,automatic,AWD,71052,7.3,166.0,107802,5,5,suv,grey,2.0,no,full,Germany,3065
2273,X7,2013,3.3,274,diesel,automatic,AWD,157711,8.9,189.0,80448,5,5,suv,white,4.0,no,partial,Netherlands,2395
941,i7,2006,0.0,394,electric,automatic,AWD,216868,0.0,0.0,79221,4,5,sedan,red,4.0,yes,full,France,1769
624,3 Series,2024,2.1,202,petrol,automatic,AWD,1798,7.2,147.0,43108,4,5,sedan,white,1.0,no,partial,Spain,314
2515,X5,2018,,321,petrol,automatic,AWD,66811,10.0,233.0,63823,5,5,suv,white,3.0,yes,full,Spain,3761
8998,X3,2016,3.3,246,hybrid,automatic,AWD,135624,6.4,136.0,45040,5,5,suv,grey,4.0,no,full,France,4909
1124,X5,2018,4.1,370,hybrid,automatic,AWD,136890,7.0,151.0,74189,5,5,suv,white,1.0,no,full,UK,113
1661,1 Series,2008,2.7,253,hybrid,automatic,FWD,195847,5.0,130.0,15073,5,5,hatchback,black,,no,full,Spain,960
1363,5 Series,2022,3.1,270,diesel,automatic,RWD,23131,8.2,186.0,56660,4,5,sedan,white,0.0,no,full,Turkey,2910
586,X3,2024,3.1,330,petrol,automatic,RWD,0,9.4,223.0,71408,5,5,suv,silver,0.0,no,full,UK,3405
7499,3 Series,2007,2.7,307,petrol,automatic,AWD,237995,8.6,203.0,13644,4,5,sedan,grey,2.0,,partial,Germany,1623
1204,X5,2023,4.1,327,petrol,automatic,AWD,7840,10.4,212.0,95324,5,5,suv,white,0.0,no,full,France,3322
2765,5 Series,2008,3.8,349,hybrid,automatic,AWD,148966,7.0,148.0,42906,4,5,sedan,blue,2.0,no,partial,Netherlands,4999
9054,X3,2016,3.5,304,petrol,automatic,AWD,53961,10.5,227.0,48814,5,5,suv,white,1.0,no,partial,Netherlands,1818
666,i3,2022,0.0,149,electric,automatic,RWD,0,0.0,0.0,60719,5,4,hatchback,silver,1.0,no,full,Netherlands,3194
410,5 Series,2011,2.7,318,hybrid,automatic,AWD,226044,6.4,136.0,32780,4,5,sedan,white,4.0,no,partial,Turkey,3007
6900,X7,2014,3.1,261,diesel,automatic,AWD,82588,7.5,175.0,91449,5,5,suv,white,2.0,no,full,Netherlands,3414
6389,X3,2014,2.2,249,diesel,automatic,RWD,262121,,134.0,33636,5,5,suv,,2.0,no,partial,Netherlands,4528
3609,7 Series,2024,4.5,348,hybrid,automatic,RWD,0,7.3,178.0,122418,4,4,sedan,black,0.0,no,full,UK,1897
6856,X1,2005,1.6,127,petrol,,AWD,300000,7.0,138.0,9050,5,5,suv,blue,3.0,no,full,USA,1918
4077,3 Series,2010,3.5,376,hybrid,automatic,AWD,156576,6.4,145.0,28985,4,5,sedan,white,,yes,partial,UK,1270
2171,i4,2013,0.0,359,electric,automatic,AWD,115980,0.0,0.0,56296,4,5,coupe,black,2.0,no,full,USA,4176
143,i4,2024,0.0,307,electric,automatic,AWD,0,0.0,0.0,76040,4,5,coupe,black,0.0,no,partial,Spain,4962
2657,Z4,2022,2.5,249,petrol,automatic,RWD,44982,9.6,209.0,69743,2,2,convertible,white,0.0,no,,Spain,4883
8316,X1,2020,2.2,194,hybrid,automatic,AWD,25106,5.0,113.0,42896,5,5,suv,black,1.0,no,full,USA,4094
7914,3 Series,2023,2.1,189,diesel,automatic,AWD,17984,6.9,145.0,46841,4,5,sedan,white,0.0,no,full,Italy,3159
5334,1 Series,2020,2.8,299,diesel,automatic,RWD,97779,8.2,173.0,30396,3,5,hatchback,black,1.0,no,full,USA,1813
7402,7 Series,2016,0.0,438,electric,automatic,RWD,173530,0.0,0.0,69237,4,4,sedan,black,2.0,no,none,Turkey,2426
7533,i3,2024,0.0,162,electric,automatic,RWD,4118,0.0,0.0,65160,5,4,hatchback,black,0.0,no,,Spain,3950
9836,Z4,2020,2.4,240,petrol,automatic,RWD,63911,8.6,179.0,63168,2,2,convertible,white,1.0,no,partial,France,4428
9052,X3,2022,3.5,273,diesel,automatic,RWD,55876,8.2,181.0,68454,5,5,suv,silver,1.0,no,full,France,2142
1916,3 Series,2019,3.2,245,petrol,automatic,RWD,92012,10.0,223.0,31643,4,5,sedan,black,2.0,no,partial,Turkey,1626
5099,3 Series,2007,1.9,204,diesel,manual,RWD,186916,6.3,130.0,13598,4,5,sedan,grey,4.0,yes,full,Spain,789
5200,7 Series,2022,4.3,378,hybrid,automatic,AWD,30428,7.3,162.0,98992,4,4,sedan,silver,0.0,no,partial,Spain,3786
5571,3 Series,2017,2.2,154,diesel,manual,AWD,94497,6.7,147.0,27549,4,5,sedan,grey,4.0,no,full,USA,1864
6228,X1,2007,2.0,225,petrol,automatic,FWD,252701,8.3,176.0,12949,5,5,suv,silver,5.0,yes,none,UK,2865
287,7 Series,2018,3.2,303,petrol,automatic,AWD,75038,8.7,198.0,95023,4,4,sedan,black,1.0,no,full,USA,871
7446,3 Series,2008,2.0,200,diesel,automatic,AWD,219720,5.8,129.0,17466,4,5,sedan,white,4.0,,full,Germany,3271
549,5 Series,2015,2.6,192,diesel,automatic,AWD,73379,7.8,176.0,39050,4,5,sedan,red,1.0,no,none,Italy,3833
2895,1 Series,2010,2.3,216,hybrid,automatic,RWD,153060,4.6,93.0,12391,3,5,hatchback,black,3.0,yes,full,Italy,73
1537,Z4,2014,2.8,214,petrol,automatic,RWD,222108,9.3,218.0,29150,2,2,convertible,blue,4.0,yes,none,Spain,1752
7794,Z4,2014,2.3,280,petrol,manual,RWD,47042,8.7,178.0,51340,2,2,convertible,black,3.0,no,partial,UK,1421
844,1 Series,2019,2.7,241,hybrid,manual,FWD,95320,5.4,136.0,23513,3,4,hatchback,silver,1.0,no,partial,France,4221
1581,Z4,2024,3.0,295,petrol,automatic,RWD,0,9.7,203.0,73802,2,2,convertible,red,0.0,no,full,Turkey,4693
9560,5 Series,2016,2.9,226,diesel,automatic,RWD,138725,7.6,176.0,39374,4,5,sedan,,2.0,yes,full,Netherlands,4369
7811,3 Series,2019,1.7,220,hybrid,automatic,RWD,97253,4.8,108.0,37496,4,5,sedan,silver,1.0,no,full,Germany,4575
2796,i7,2019,0.0,383,electric,automatic,AWD,96658,0.0,0.0,159156,4,4,sedan,silver,1.0,no,full,Turkey,3809
3461,1 Series,2016,3.0,284,hybrid,manual,FWD,166905,5.5,117.0,22855,5,5,hatchback,silver,1.0,no,full,France,2244
642,X1,2010,,217,hybrid,automatic,FWD,227388,3.9,90.0,25992,5,5,suv,white,3.0,no,full,UK,3047
1833,i3,2020,0.0,197,electric,automatic,RWD,34562,0.0,0.0,51358,5,4,hatchback,white,1.0,no,partial,France,2445
1632,1 Series,2014,2.4,214,hybrid,manual,FWD,202968,5.0,116.0,17208,5,5,hatchback,red,1.0,no,full,Turkey,494
2178,X7,2018,3.7,371,diesel,automatic,AWD,51823,8.9,192.0,108495,5,5,suv,black,3.0,no,full,Italy,3130
5480,3 Series,2019,,241,diesel,automatic,RWD,86517,8.2,197.0,36810,4,5,sedan,grey,3.0,no,full,France,4321
4746,7 Series,2006,3.5,320,petrol,automatic,RWD,300000,9.4,200.0,48451,4,5,sedan,blue,4.0,no,partial,Turkey,4397
1489,X5,2010,3.3,310,hybrid,automatic,AWD,124794,6.0,129.0,51831,5,5,suv,grey,3.0,no,full,Turkey,1164
4029,i7,2018,0.0,446,electric,automatic,AWD,110419,0.0,0.0,98905,4,5,sedan,blue,4.0,yes,none,France,3734
9835,3 Series,2012,1.8,224,petrol,manual,RWD,171888,7.5,168.0,24309,4,5,sedan,blue,3.0,no,full,Spain,1730
2186,5 Series,2010,2.4,260,diesel,automatic,AWD,300000,7.3,161.0,19478,4,5,sedan,black,3.0,no,none,Germany,4812
3884,1 Series,2022,2.1,237,petrol,automatic,FWD,44610,7.3,170.0,25157,3,5,hatchback,grey,1.0,no,full,Turkey,2402
7149,3 Series,2009,2.9,295,hybrid,manual,AWD,300000,6.2,144.0,12240,4,5,sedan,blue,3.0,yes,,Italy,3403
5545,i4,2021,0.0,390,electric,automatic,RWD,59532,0.0,0.0,90499,4,5,coupe,black,2.0,no,full,Netherlands,618
5923,7 Series,2013,4.0,300,diesel,automatic,RWD,87890,,194.0,60787,4,4,sedan,silver,4.0,,none,Germany,1697
4163,X3,2019,2.4,330,hybrid,automatic,RWD,111029,,119.0,57300,5,5,suv,white,4.0,no,full,France,3593
9700,3 Series,2020,2.7,280,diesel,automatic,AWD,81076,8.2,173.0,38754,4,5,sedan,white,1.0,no,full,UK,1957
9020,1 Series,2013,2.3,216,petrol,manual,FWD,147038,8.8,182.0,14195,5,5,hatchback,white,4.0,no,none,Spain,1221
3775,i3,2007,0.0,212,electric,automatic,RWD,257449,0.0,0.0,17492,5,4,hatchback,black,3.0,yes,partial,UK,2073
1704,5 Series,2022,3.8,370,petrol,automatic,AWD,62948,9.6,221.0,60326,4,5,sedan,black,1.0,no,full,Netherlands,3410
3707,X3,2023,3.2,249,diesel,automatic,RWD,32453,7.8,169.0,60219,5,5,suv,blue,0.0,no,partial,Italy,869
1730,X1,2024,2.4,195,hybrid,automatic,FWD,0,,117.0,45729,5,5,suv,black,0.0,no,full,Turkey,2718
7457,5 Series,2022,2.5,216,hybrid,automatic,AWD,41865,5.4,130.0,59626,4,5,sedan,blue,0.0,no,full,UK,1042
